State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an unknown manufacturer
Oklahoma,5245690,132568,174581,4375374,110574,4104634,136606,2320483,58.6,2172746,72.3,1959013,49.5,1837737,61.2,2705010,2278380,262300,0,124066,1757796,2492655,857,777102,1058503,123276,132,776849,937584,123186,118,1836434,58.6,2172746,72.3,46.4,1715245,57.1,2320483,600819,94.6,517470,81.5,264721,238437,20155,34,1200068,188948,825921,2320236,69.8,1958941,58.9,777085,1058463,123261,132,4375093,131573,157755,148945,7.6,148747,8.1,123699,23.9,92290,17.8,0,0,0,0
Oregon,7075885,167765,211146,5496828,130326,5134163,153205,2863457,67.9,2671296,79.7,2631246,62.4,2462336,73.5,3916425,2788460,371000,0,229143,2003011,3260175,4499,941899,1463357,224932,1058,939073,1298145,224128,990,2408002,67.9,2671296,79.7,57.1,2239885,66.8,2863457,706856,92.3,667737,87.2,301509,316139,50467,462,1448185,189038,923648,2855383,78.3,2625503,72,941895,1457625,224929,1054,5482786,150305,193978,194773,7.4,194496,7.9,153928,23.1,120871,18.1,0,0,0,0
Pennsylvania,20400035,159351,200642,17146754,133938,16127547,158621,9739348,76.1,9165949,90.2,7673543,59.9,7238110,71.2,10996695,8217340,1186000,0,669557,6606599,9869569,1029,2878887,4122746,671390,520,2876422,3690291,670916,481,7004060,76.1,9165949,90.2,54.7,6569075,64.6,9739348,2797914,99.9,2152939,90,1009025,1057511,88749,244,5096857,212958,852359,9735598,87.9,7671887,69.2,2878744,4121299,671324,520,17141389,154684,184090,312401,4.1,311726,4.3,256297,11.9,188669,8.8,0,0,0,0
Puerto Rico,4986390,156132,190250,4936282,154563,4549011,173563,2606785,81.6,2398513,91.5,2335375,73.1,2154528,82.2,2737410,2053080,195900,0,134859,1938427,2862564,432,893309,1308038,133966,62,892901,1127772,133796,59,2201757,81.6,2398513,91.5,68.9,2021078,77.1,2606785,629796,99.9,566439,99.9,278938,264850,22854,14,1228488,226271,918426,2605486,91.5,2334972,82,893244,1307750,133916,62,4934628,173249,175066,112113,4.8,111770,5.2,82208,14.5,52567,9.3,0,0,0,0
Rhode Island,1786595,168648,208991,1527156,144158,1425655,166769,818655,77.3,763177,89.3,744798,70.3,695710,81.4,1009935,700960,75700,0,54807,562822,908598,929,268517,421590,54471,220,268426,372617,54449,218,690767,77.3,763177,89.3,65.2,641701,75.1,818655,192533,99.9,178344,95.3,80683,91540,6329,76,396003,211714,955163,818517,88.3,744747,80.3,268512,421546,54470,219,1527027,164641,192627,49076,6.6,48956,7,42428,23.8,33574,18.8,0,0,0,0
Republic of Palau,33090,184788,237255,31518,176009,28893,207163,17938,99.9,16587,99.9,15644,87.4,14365,99.9,6390,22900,3800,0,2333,24566,4619,0,11591,1715,2338,0,11591,436,2338,0,13307,99.9,16587,99.9,74.3,12028,86.2,17938,1788,58.9,1710,56.4,1464,19,227,0,3606,118853,1090640,17938,99.9,15644,99.9,11591,1715,2338,0,31518,206108,216388,529,3.4,529,3.7,505,29.5,384,22.5,0,0,0,0
South Carolina,7351775,142789,182086,5573990,108260,5266073,130428,2929188,56.9,2759271,68.3,2543083,49.4,2402688,59.5,3895815,3101560,354400,0,184984,2110006,3277494,1506,940752,1419989,182054,288,938770,1282164,181468,286,2362066,56.9,2759271,68.3,45.9,2222254,55,2929188,870627,92.9,771698,82.4,327402,416399,29087,178,1775258,189457,784589,2924237,66.2,2540224,57.5,940666,1417260,182010,288,5566088,125930,166331,214423,8.4,214139,8.9,186165,24.1,152199,19.7,0,0,0,0
South Dakota,1281075,144810,191905,999693,113003,935646,140160,539455,61,503220,75.4,461208,52.1,433804,65,677655,533420,70000,0,32527,386673,580368,125,179726,248813,32647,22,179666,221494,32622,22,428663,61,503220,75.4,48.5,401283,60.1,539455,151223,99.6,133030,87.6,66739,62093,4488,15,296774,195412,843528,539401,73.1,461192,62.5,179724,248801,32645,22,999639,135434,173564,35071,7.6,35044,8.1,30034,22.6,23419,17.6,0,0,0,0
Tennessee,9119650,133540,171450,7276374,106548,6909883,129906,3694609,54.1,3494195,65.7,3224831,47.2,3065626,57.6,5175810,3530440,413400,0,213477,2719056,4311230,32611,1189572,1820846,206122,8291,1189081,1662470,205860,8215,3021383,54.1,3494195,65.7,44.2,2862386,53.8,3694609,990903,86.7,909086,79.5,450069,423270,33584,4517,2148775,187930,797595,3693857,63.3,3224644,55.3,1189552,1820727,206076,8289,7275479,124675,156277,285551,8.9,284848,9.3,234355,25.8,176812,19.4,0,0,0,0
Texas,43656335,150560,202149,33712900,116268,30957015,143346,17639244,60.8,16162312,74.8,15311779,52.8,14113696,65.4,24747135,16792900,2116300,0,1262068,12578306,19870154,2372,5586386,8550164,1174987,242,5582551,7357308,1173611,226,14146689,60.8,16162312,74.8,48.8,12949928,60,17639244,3353355,89.8,3029623,81.1,5479519,7095464,1136065,148,6967657,186589,1169090,17633111,73.2,15309712,63.5,5585867,8548878,1174726,241,33704929,139848,181138,1005935,6.6,1002665,7.1,780636,25.8,525756,17.4,0,0,0,0
Utah,4263020,132972,187404,3633463,113335,3291035,144675,1943302,60.6,1759720,77.4,1698243,53,1543565,67.9,2508660,1563360,191000,0,150119,1316359,2166736,249,596415,954113,147709,6,596032,799991,147536,6,1551732,60.6,1759720,77.4,48.4,1397212,61.4,1943302,351136,96,312573,85.4,133531,164150,15859,1,721429,197181,1165170,1942622,74.9,1697906,65.5,596381,953845,147674,6,3632474,140128,164452,92407,5.4,92070,6,75566,24.2,60993,19.5,0,0,0,0
Virginia,13480695,157936,201968,11449069,134134,10580755,158521,6003628,70.3,5547140,83.1,5332674,62.5,4933950,73.9,7887555,4994040,599100,0,407837,4022118,7012503,6611,1852427,3078549,399099,2599,1846898,2687041,397565,2446,4937083,70.3,5547140,83.1,57.8,4539879,68,6003628,1308562,96.3,1181408,86.9,554143,561025,68830,813,2661913,195886,992026,5985253,81.9,5320590,72.8,1852257,3066736,399004,2593,11417605,156256,184491,349504,6.6,348838,7.1,284840,24.1,211120,17.9,0,0,0,0
Veterans Health,6631120,0,0,5911776,0,5908749,0,3062378,0,3060668,0,2852861,0,2851513,0,2949960,3138260,542900,0,219085,2936019,2756357,315,1402140,1232398,218314,9,1402080,1231150,218274,9,2634818,0,3060668,0,0,2633510,0,3062378,1544033,0,1467139,0,802027,592887,72224,1,3110536,0,0,3062280,0,2852787,0,1402118,1232353,218307,9,5911611,0,0,207618,7.3,207618,7.3,201575,13.7,168637,11.5,0,0,0,0
Virgin Islands,115260,110107,141366,107313,102515,102083,125205,55377,52.9,52508,64.4,48507,46.3,46177,56.6,83280,30480,1500,0,1488,28450,77375,0,12887,34180,1437,3,12862,31881,1431,3,47073,52.9,52508,64.4,45,44749,54.9,55377,15070,85,13673,77.1,5068,8167,447,3,29522,166443,649828,55312,61.9,48479,54.2,12879,34163,1434,3,107220,119940,128933,2099,4.3,2098,4.5,1824,13.3,1299,9.5,0,0,0,0
Vermont,1123010,179973,220205,949114,152104,887255,173977,493133,79,459938,90.2,441485,70.8,412323,80.9,597870,463240,61900,0,44673,363492,540118,831,164932,233068,43231,254,164889,204040,43157,237,398518,79,459938,90.2,63.9,369415,72.4,493133,131104,99.9,120810,96.6,58216,60171,2363,150,288882,231034,898128,492714,89.4,441446,80.1,164925,233052,43215,254,948690,172192,203832,40719,9.2,40665,9.9,35604,29.5,29542,24.5,0,0,0,0
Washington,12082075,158664,202998,10080829,132383,9399082,157919,5238975,68.8,4881443,82,4791495,62.9,4474339,75.2,6879495,4599580,603000,0,405060,3736923,5931230,7616,1751419,2633791,403852,2433,1750711,2317687,403555,2386,4391310,68.8,4881443,82,57.7,4074421,68.5,5238975,1150550,95.1,1080116,89.3,493010,532098,55771,1316,2418060,199885,998747,5238044,80.6,4791215,73.7,1751363,2633595,403826,2431,10079765,155051,185852,331017,6.9,330198,7.4,271260,25.1,208972,19.3,0,0,0,0
Wisconsin,8011125,137591,175843,7159648,122967,6721275,147531,3622537,62.2,3390527,74.4,3370124,57.9,3167544,69.5,4538385,3112940,359800,0,280242,2685244,4193137,1025,1252676,1844323,272700,425,1252364,1642258,272512,410,3098721,62.2,3390527,74.4,53.2,2896308,63.6,3622537,972198,95.6,930411,91.5,447701,454848,28795,184,2121889,208592,787533,3621982,72.4,3369930,67.4,1252660,1844163,272682,425,7159140,143189,160229,291094,8.6,290729,9.2,239773,25.8,188496,20.3,0,0,0,0
West Virginia,3104085,173205,216678,1585187,88452,1511220,105489,874224,48.8,830450,58,733677,40.9,702013,49,1738005,1234980,131100,0,42134,702646,839996,411,318892,370372,44158,255,318589,339103,44090,231,689610,48.8,830450,58,38.5,658008,45.9,874224,294676,80.3,263047,71.7,133832,122469,6854,105,567390,154598,845774,873589,56.1,733375,47.1,318803,370173,44144,255,1584224,101694,199256,40795,5.6,40752,5.8,33332,12.7,23547,9,0,0,0,0
Wyoming,712015,123024,159994,555247,95938,526252,118252,290663,50.2,274473,61.7,251205,43.4,238475,53.6,351615,321800,38600,0,24341,240638,289756,512,105988,122318,22813,86,105969,109632,22790,84,228505,50.2,274473,61.7,39.5,215797,48.5,290663,84897,85.6,77929,78.6,39711,34766,3587,38,173551,174988,717909,290623,59.2,251194,51.2,105987,122310,22811,86,555205,113141,145096,22126,8.8,22076,9.3,18943,24.3,14676,18.8,0,0,0,0
